# format_version: 2
# timestamp: 1783114766.3645787
# geometry_path: tests\data\geometry.yaml
# geometry_hash: bb9c0819498f021c9694f05d82376d7b2343c7fd2f525dba61faf9ead685ebd8
# sweep_path: tests\data\sweep.yaml
# sweep_hash: 0f8f709c8b309b4c0ffaa90c43e15288b39b937cec97088379444cceaffbb1a9
#
step_index,solver_converged,solver_max_residual,solver_nfev,camber_deg,caster_deg,kpi_deg,scrub_radius_mm,mechanical_trail_mm,roadwheel_angle_deg,svic_x_mm,svic_z_mm,svsa_length_mm,fvic_y_mm,fvic_z_mm,fvsa_length_mm,LOWER_WISHBONE_INBOARD_FRONT_x,LOWER_WISHBONE_INBOARD_FRONT_y,LOWER_WISHBONE_INBOARD_FRONT_z,LOWER_WISHBONE_INBOARD_REAR_x,LOWER_WISHBONE_INBOARD_REAR_y,LOWER_WISHBONE_INBOARD_REAR_z,LOWER_WISHBONE_OUTBOARD_x,LOWER_WISHBONE_OUTBOARD_y,LOWER_WISHBONE_OUTBOARD_z,UPPER_WISHBONE_INBOARD_FRONT_x,UPPER_WISHBONE_INBOARD_FRONT_y,UPPER_WISHBONE_INBOARD_FRONT_z,UPPER_WISHBONE_INBOARD_REAR_x,UPPER_WISHBONE_INBOARD_REAR_y,UPPER_WISHBONE_INBOARD_REAR_z,UPPER_WISHBONE_OUTBOARD_x,UPPER_WISHBONE_OUTBOARD_y,UPPER_WISHBONE_OUTBOARD_z,TRACKROD_INBOARD_x,TRACKROD_INBOARD_y,TRACKROD_INBOARD_z,TRACKROD_OUTBOARD_x,TRACKROD_OUTBOARD_y,TRACKROD_OUTBOARD_z,AXLE_INBOARD_x,AXLE_INBOARD_y,AXLE_INBOARD_z,AXLE_OUTBOARD_x,AXLE_OUTBOARD_y,AXLE_OUTBOARD_z,AXLE_MIDPOINT_x,AXLE_MIDPOINT_y,AXLE_MIDPOINT_z,WHEEL_CENTER_x,WHEEL_CENTER_y,WHEEL_CENTER_z,WHEEL_INBOARD_x,WHEEL_INBOARD_y,WHEEL_INBOARD_z,WHEEL_OUTBOARD_x,WHEEL_OUTBOARD_y,WHEEL_OUTBOARD_z,CONTACT_PATCH_CENTER_x,CONTACT_PATCH_CENTER_y,CONTACT_PATCH_CENTER_z
10,True,3.5778515215599543e-07,111,0.6186388603966225,11.350945790495686,9.739375880227252,1.7840817365917887,35.25932280023175,0.9933664784227269,-1040.276176805819,-35.22809915009674,-1061.7072724928435,14556.758188718131,-9176.339578447903,-16678.64449332557,-73.83,198.32,363.68,-201.23,193.36,350.42,24.62752465156144,576.6213919654979,124.80073760899725,-5.28,191.01,535.74,-213.66,185.61,481.39,-9.202342558523306,547.6961921880007,293.3227027615207,-176.8100002439622,195.27000005972343,453.9399991145267,-62.5432346383335,523.588231866663,251.34988162619058,21.23471422436578,595.1056833747724,212.76599012968268,22.136180294166284,647.0955854133015,212.2046185252006,21.685447259266034,621.1006343940369,212.48530432744164,21.477426091587905,609.1035104957191,212.61484572736538,19.936287970292703,520.2220510174805,213.57456147137717,23.018564212883106,697.9849699739577,211.6551299833536,21.431095687024573,606.4315150925132,-34.9191289844282
11,True,8.342020111251571e-07,110,0.6092656760502427,11.535111281229755,9.757726593794201,1.7622569017671708,36.09962554831027,0.9657253156863554,-1042.8947277083316,-30.539206279184924,-1063.5214632596699,16031.18196292819,-9921.88698316893,-18321.354168996528,-73.83,198.32,363.68,-201.23,193.36,350.42,24.12744485677756,579.1578714308235,128.65663074196135,-5.28,191.01,535.74,-213.66,185.61,481.39,-10.24272354511048,550.1969668577035,297.06309542574644,-176.81000150605877,195.27,453.9400003099742,-63.4324858095471,526.0659371122362,254.91211877263265,20.435135568022723,597.6309042252935,216.61218628926613,21.311521616662436,649.6213261547493,216.05931531320203,20.87332859234258,623.6261151900214,216.3357508012341,20.671094858333667,611.6288713089573,216.4633306070607,19.17283331055924,522.7465229986702,217.4085137550615,22.169356406108093,700.5112196192443,215.5181474590599,20.626735551338285,608.9973151690942,-31.071077682160023
12,True,3.141406637041655e-07,103,0.5992291481407916,11.71948421147192,9.777485593770596,1.7398421840004645,36.943313601740314,0.9359196296258933,-1045.4248294499148,-25.857300709435577,-1065.2474421368768,17760.365025706673,-10790.635482417425,-20246.835289597002,-73.83,198.32,363.68,-201.23,193.36,350.42,23.62949610960395,581.6379648310042,132.51314711639859,-5.28,191.01,535.74,-213.66,185.61,481.39,-11.281059386629964,552.6375948557649,300.80162406358016,-176.80999930574552,195.27,453.94000040329394,-64.31779624734435,528.4821633338757,258.47217910745155,19.63621740216501,600.0982913695464,220.45822036896638,20.48555910128624,652.0892581402118,219.91445189345833,20.060888251725622,626.0937747548791,220.18633613121236,19.864895237540416,614.0964051469479,220.3118154555455,18.412868461566635,525.2131253811277,221.24143705211273,21.316922013514198,702.979684912768,219.3821938589783,19.82261268696188,611.5081527576184,-27.223049774213706
13,True,9.96648938548519e-07,114,0.5885689804205442,11.904067636302127,9.798583821457564,1.7168356731352632,37.79023787141229,0.9042039593714942,-1047.8720839903092,-21.18231538106002,-1066.8909502027172,19817.536022255816,-11818.202516973643,-22536.528015443153,-73.83,198.32,363.68,-201.23,193.36,350.42,23.133632742140872,584.0627771669527,136.37031458173865,-5.28,191.01,535.74,-213.66,185.61,481.39,-12.317398710544872,555.0193952377084,304.53834416479395,-176.80999841871846,195.2700000534924,453.93999930275135,-65.19934453238311,530.8384609939134,262.0301748624289,18.83806004909423,602.5089941995719,224.30410203563412,19.65862397229279,654.5005233704669,223.77000200275774,19.248342010693513,628.5047587850195,224.03705201919593,19.058989719867412,616.5072594144814,224.1603002657935,17.65616116616698,527.6230182121889,225.07339278115865,20.461818273567843,705.3915006167739,223.24720775042834,19.018866212407943,613.9650046924044,-23.375042005956118
14,True,7.021252489486791e-07,108,0.5773221634916508,12.08886397457481,9.820957079592196,1.6932353916587748,38.64026637107119,0.8708071488342861,-1050.2416257604384,-16.514162697809553,-1068.4572422384706,22306.9794928859,-13055.301941917873,-25306.40272721278,-73.83,198.32,363.68,-201.23,193.36,350.42,22.639809066330997,586.4333598924017,140.22815925284158,-5.28,191.01,535.74,-213.66,185.61,481.39,-13.351788105517505,557.3436189519257,308.2733071745469,-176.80999863883306,195.27000004619399,453.9399997891566,-66.0772951172469,533.1362884777731,265.58620964799997,18.040749422810247,604.8641080985489,228.149840388262,18.831009739202333,656.8562104930776,227.6259412603366,18.43587958100629,630.8601592958132,227.8878908242993,18.253520112027136,618.8625276456976,228.00878512303277,16.90249832634621,529.9773064580111,228.90443826497201,19.604541897708064,707.7477488333841,227.11313198109352,18.215616478032107,616.3688055405671,-19.527051183423907
15,True,1.8504775644668304e-06,91,0.5655221367078427,12.273876148148611,9.844545100914035,1.6690393014419829,39.49328036787651,0.835941616998312,-1052.5381754410257,-11.852740415450569,-1069.9511531096696,25382.457345573068,-14576.700353809418,-28727.443425166384,-73.83,198.32,363.68,-201.23,193.36,350.42,22.147984997884883,588.7507112582152,144.08670448854605,-5.28,191.01,535.74,-213.66,185.61,481.39,-14.384269986114035,559.6114519968661,312.0065596309038,-176.80999765643045,195.27000006255582,453.93999872214863,-66.95179880480421,535.3770226986633,269.1403773400268,17.24436768745764,607.1646728080749,231.99544352632768,18.00299126956348,659.1573531871201,231.48224749662296,17.62367947851056,633.1610129975975,231.73884551147532,17.448620462219736,621.1632479713462,231.8572699768407,16.151684547144495,532.2770386639173,232.7346252002975,18.745556377294978,710.0494572787751,230.97991475338392,17.41297766864388,618.7204497010082,-15.679074443047881
16,True,1.4227870974979512e-06,97,0.5532013287753671,12.459106976767096,9.869291502816703,1.6442450710549705,40.349180625224726,0.799793861228961,-1054.7660767645991,-7.197932811813047,-1071.377122927712,29280.4917152659,-16497.39668706407,-33062.65485675845,-73.83,198.32,363.68,-201.23,193.36,350.42,21.658122067520566,591.0157821357434,147.94597288867868,-5.28,191.01,535.74,-213.66,185.61,481.39,-15.414884726509891,561.8240213772182,315.73814530957725,-176.80999814605966,195.27000010819668,453.9399988030027,-67.82299120567608,537.5619562335174,272.6927646251324,16.448983678719753,609.4116815087871,235.84091932175295,17.17480659062174,661.4049392625548,235.33889921951274,16.811895134670745,635.4083103856709,235.58990927063286,16.644405159662153,623.4104121394251,235.7057547930037,15.403544969864601,534.5232157908403,236.56400375309175,17.885265349459704,712.29760848801,234.84750583291566,16.611046163112803,621.0207894400639,-11.831108993164634
17,True,8.801160328818945e-07,99,0.5403892301753648,12.644558333165717,9.895143730561925,1.618850476543647,41.20787524961813,0.7625355896500875,-1056.9293290453004,-2.5496119635935486,-1072.739235620621,34384.69017042578,-19003.89249356231,-38738.58567521486,-73.83,198.32,363.68,-201.23,193.36,350.42,21.17018000835721,593.2294795697551,151.80598535528426,-5.28,191.01,535.74,-213.66,185.61,481.39,-16.44367154015785,563.9823987757337,319.4681047158298,-176.8100005618623,195.2700000355234,453.9399985103198,-68.69100104392639,539.6923137644837,276.24345243704204,15.654656587312248,611.6060821847108,239.6862750679953,16.34667067352732,663.599911808949,239.19587701514246,16.000663630419783,637.6029969968299,239.44107604156886,15.840975336961522,625.6049667710784,239.5542396747019,14.657914404837847,536.7167927219547,240.39261968614485,17.024036269085197,714.493140820202,238.71585966325895,15.809906575320692,623.2706444912753,-7.98315208013193
18,True,4.802715245341857e-07,82,0.5271134217791464,12.830233048972028,9.922052014215696,1.5928530884668,42.06928639002054,0.7243237303366198,-1059.0316294716201,2.092356900428058,-1074.0412685302008,41361.153913122595,-22420.020921464726,-46495.890265267546,-73.83,198.32,363.68,-201.23,193.36,350.42,20.684125154405194,595.3926659134396,155.6667610727692,-5.28,191.01,535.74,-213.66,185.61,481.39,-17.470665871226952,566.0876028831947,323.1964749001362,-176.80999966333204,195.26999998878392,453.9400010381996,-69.55594381146597,541.7692509953991,279.79251397740325,14.861443331300496,613.7487768137964,243.53151742348481,15.51878281586294,665.7431685518224,243.0531625565138,15.190113073581717,639.7459726828095,243.2923399899993,15.038426247079581,627.7478127306503,243.4027245529485,13.914644695373253,538.8586776648029,244.22051564460767,16.162207798785907,716.6369477964976,242.58493346128935,15.009639058580744,625.4707969861278,-4.1352012547082495
19,True,6.168820131567649e-07,79,0.5133994293778927,13.016133573799868,9.949969636051891,1.5662504247388145,42.933344543993044,0.6853018556931787,-1061.0763942788067,6.728116036024431,-1075.2867091325602,51477.154315069485,-27361.866684945526,-57743.6660237675,-73.83,198.32,363.68,-201.23,193.36,350.42,20.19992418526466,597.506163970333,159.52831791314176,-5.28,191.01,535.74,-213.66,185.61,481.39,-18.49590158488589,568.1406036897537,326.9232902079186,-176.8100004410046,195.2699999916271,453.940001191563,-70.41792741405237,543.7938628267573,283.3400172273004,14.06939382562993,615.8406269022378,247.3766525915391,14.69132320109586,667.8355672232451,246.9107389173935,14.380358513362896,641.8380970627414,247.1436957544663,14.236842878757207,629.8398105195726,247.25120940353037,13.173598124654406,540.949737599665,248.04773114609796,15.300087632860008,718.7298834394801,246.45468766096278,14.21031485375343,627.6219974827269,-0.28725416154367167
